extra
0.3616
0.34
0.09
0.15
-0.25
0.08
0.52
0.59
0.89
0.26
-0.08
-0.05
-0.47
0.1
0.44
1.73
0.17
-0.012
0.12
-0.66
0.3
0.31
1.05
0
0.2375
-0.1068
0.1303
0.13
-0.11
-0.03
0.0268
6.14
0.26
-0.02
-0.34
-0.42
-0.0584
0.03
-0.2744
0.0599
0.16
0.62
4.93
0.11
0.69
-0.1
-0.92
0.05
0.29
-0.17
-1
-0.14
-1.22
-0.81
-1.14
1.8
-0.15
-0.11
-0.14
0.15
0.27
0.3633
-0.65
0.14
0.29
0.28
0.4
0.04
0.29
1.81
0.25
0.34
1
-0.1142
0.0072
0.12
0.4166
0.2329
0.0213
0.2321
-0.0053
0.1852
-4.5657
4.7271
-0.46
0.2684
0.2
-0.4313
0.33
1.82
0.5323
-0.334
0.32
0.17
-0.13
-0.46
-0.08
0.66
0.83
0.29
-0.1
0.36
0.05
-0.68
0.3473
1.87
6.91
0.33
-0.67
-0.16
-0.12
-0.3381
0.25
0.05
0.1011
-0.2212
-0.02
-0.3683
0.05
0.05
0.26
-0.4777
0.07
-0.37
-0.1
0.02
0.06
-0.34
0.21
-0.17
-0.78
0.0222
0.09
0.05
0.6
-0.41
0.06
0.18
0.03
0.62
1.44
0.25
0.54
-0.31
0.29
-2.64
0.06
-0.8
0.29
0.31
0.11
-0.74
0.26
-0.17
-0.04
-0.53
-0.27
-0.26
-0.68
0.15
-1.05
0.12
-0.57
0.1
-0.13
-0.08
0.15
0.26
0.32
-0.51
0.17
-0.25
-0.23
-4.26326E-14
-0.23
0.22
-0.84
0.07
0.19
0.12
0.26
0.14
0.09
0.08
0.21
-0.56
0.18
-0.02
-0.58
0.0005
0.28
0.04
-0.07
0.41
0.4
0.23


0.14100102
