Year,DoY,season,daily_NEE,daily_GPP,daily_Reco,MaxT,MinT,Radn,rainfall,TairMean,pdi,mean_SoilC,grazeYN
2022,41,Winter,-0.21107602009999998,-2.3187448796,2.1076661142,6.7,-1.7,7.43,0.5,1.520486111,0.73,-1.790577946,N
2022,42,Winter,-1.4388456918,-3.7978368905999997,2.3589968852,6.7,0,11.63,0,3.973958333,0.73,-1.709734342,N
2022,43,Winter,-1.262012643,-4.0933046730000004,2.8312842084,12.2,1.1,6.89,0,7.665972223,0.73,-1.625212104,N
2022,44,Winter,0.05904946648000001,-1.1396313526,1.1986827556,1.1,-7.8,4.25,0,-2.960069444,0.73,-0.895218908,N
2022,45,Winter,0.1658499869,-0.42495081939999996,0.5907983648,-6.1,-13.9,10.7,0,-8.837152778,0.73,-2.644696308,N
2022,46,Winter,-0.06043157399999999,-0.5986389646,0.5382152063,-2.8,-14.4,12.47,0,-9.102777778,0.73,-5.5410586,N
2022,47,Winter,-0.9227199906,-1.9465529,1.0238382298,5.6,-14.4,10.97,0,-2.870138889,0.73,-5.609442138,N
2022,48,Winter,1.6340914863,-0.7306391796,2.3647501573,12.2,5.6,8.04,0.3,11.5875,0.73,-2.389983883,N
2022,49,Winter,3.1195472598,1.6115727338,1.507938374,14.4,-8.9,11.31,1.8,4.014583333,0.73,1.480580904,N
2022,50,Winter,-0.328303367,-0.9276536664,0.5993578472,-0.6,-11.7,6.73,0,-4.684027778,0.38,0.331683096,N
2022,51,Winter,-0.1703797044,-0.6409689554,0.4705879912,-1.1,-11.7,11.57,0,-5.651041667,0.38,-1.587096913,N
2022,52,Winter,-0.24760572379999998,-1.1584734554,0.9108682801,11.1,-2.2,12.57,0,3.279513889,0.38,-2.115337104,N
2022,53,Winter,-0.3540964511,-1.111789502,0.7576928724,8.9,-1.1,5.7,1.8,3.606597222,0.38,-0.606493383,N
2022,54,Winter,-1.3355237618,-2.3640178786,1.0284860653,18.9,-3.9,11.32,15.2,10.49270833,0.38,1.7046346000000001,N
2022,55,Winter,0.72906388070000006,0.4997587783,0.2293050251,-1.1,-8.9,10.65,0,-5.441666667,0.38,2.694126388,N
