,silperCmic,silperNmic,HclperCmic,HClperNmic,perCorg,perNorg
NW13T-M,2.979134999,0.318014667,2.585633648,0.285593529,3.012062489,0.319412763
NW13T-P,1.63052922,0.125643169,0.691812849,0.057564374,1.465384692,0.110435173
