Field_Code,Type,soil_texture_class,perC_P,perN_P,soilMass,panMass_P,fracPanMass_P,perC_M,perN_M,panMass_M,fracPanMass_M,gP,gM,gCarbonP,gCarbonM,mgCpergSoilP,mgCpergSoilM,propM
DC24,Hay,silty clay loam,6.725506462,0.493096561,20.3932,310.48,313.31,2.155781348,0.244981431,308.23,325.82,2.83,17.59,0.190331833,0.379201939,9.333102842,18.59452852,0.665811156
DC25,Hay,silty clay,7.138966927,0.446489111,27.56,307.04,311.48,1.960323476,0.224351406,301.49,330.75,4.44,29.26,0.316970132,0.573590649,11.50109331,20.81243284,0.644078048
DC26,Hay,clay,5.752281302,0.407670064,24.91,310.68,313.98,2.04872975,0.246501119,310.69,332.56,3.3,21.87,0.189825283,0.448057196,7.62044492,17.9870412,1.53943531
DC38,Corn,clay,4.291819053,0.253485124,27.38,306.58,310.21,2.388089011,0.234844359,309.4,333.13,3.63,23.73,0.155793032,0.566693522,5.690030373,20.6973529,0.784365493
DC39,Hay,clay,6.505073306,0.467837652,20.76,309.65,312.57,2.423570758,0.257369662,306.98,324.48,2.92,17.5,0.189948141,0.424124883,9.149717752,20.42990764,0.690674996
DC40,Corn,clay,3.91703009,0.259000686,27.31,308.84,312.08,1.999337623,0.228093269,308.78,332.43,3.24,23.65,0.126911775,0.472843348,4.647080736,17.31392705,0.788394013
EL1,Pasture,loam,2.065492275,0.108542593,20.0884,307.45,317.43,5.735620113,0.50418824,308.14,318.19,9.98,10.05,0.206136129,0.576429821,10.26145084,28.69466067,0.736589448
EL2,Pasture,silty clay loam,8.556551161,0.536659548,16.45,309.53,312,3.534599736,0.365014407,311.2,325.21,2.47,14.01,0.211346814,0.495197423,12.84783062,30.10318681,0.700872496
EL3,Pasture,loam,3.547733747,0.303959698,18.1344,307.45,320.44,5.3402318,0.490157784,308.14,313.01,12.99,4.87,0.460850614,0.260069289,25.41306102,14.34121276,0.36074644
EL5,Hay,silt loam,3.059714995,0.185385075,13.8601,308.46,318.1,4.467571826,0.383795537,309.45,313.73,9.64,4.28,0.294956526,0.191212074,21.28098105,13.79586541,0.39330404
H1,Veg,clay loam,4.261981404,0.224513394,20.4,308.72,316.2,2.962808948,0.271059712,310.45,323.53,7.48,13.08,0.318796209,0.38753541,15.62726515,18.99683384,0.548659298
H2,Veg,loam,6.896610772,0.376008727,25.55,305.54,316.97,5.065201637,0.442440579,306.96,321.7,11.43,14.74,0.788282611,0.746610721,30.85254839,29.22155465,0.486425151
H3,Pasture,silty clay,4.085134622,0.197420789,11.03,308.88,310.97,2.534670011,0.264567039,310.23,324.1,2.09,13.87,0.085379314,0.35155873,7.740644932,31.87295834,0.804596293
H4,Pasture,silty clay,6.973736931,0.421568746,14.8,306.51,308.45,2.28706194,0.257477271,305.95,318.92,1.94,12.97,0.135290496,0.296631934,9.141249761,20.04269822,0.686771311
LC1,Hay,loam,1.199300039,0.081453096,21.35,306.53,315.68,3.813603516,0.380121134,310.72,323.61,9.15,12.89,0.109735954,0.491573493,5.139857309,23.02451959,0.817505023
LC10,Hay,loam,0.851009148,0.062647991,17.87,309.33,317.4,5.195131092,0.496640203,309.65,319.35,8.07,9.7,0.068676438,0.503927716,3.8431135,28.19964834,2.53943531
LC11,Hay,loam,2.118800206,0.161226831,20.46,310.96,318.61,3.710326701,0.348632986,309.91,321.8,7.65,11.89,0.162088216,0.441157845,7.922200184,21.561967,0.731306632
LC12,Hay,silt loam,3.950979534,0.240505921,14.94,305.86,311.38,7.442230395,0.637671045,310.27,319.74,5.52,9.47,0.21809407,0.704779218,14.59799667,47.17397714,0.763679291
LC14,Hay,silt loam,2.364016267,0.163622588,24.01,309.38,318.83,4.027412628,0.399363681,309.29,324.14,9.45,14.85,0.223399537,0.598070775,9.304437202,24.90923679,0.728049165
LC15,Hay,sandy loam,0.946933116,0.060419288,26.99,311.53,328.76,5.297723168,0.471167243,307.97,317.56,17.23,9.59,0.163156576,0.508051652,6.045075061,18.82369959,0.756921073
LC16,Corn,loam,1.665608666,0.117738248,13.26,310.08,316.61,4.468747582,0.425366654,307.68,313.41,6.53,5.73,0.108764246,0.256059236,8.202431817,19.31065132,0.701871587
LC17,Corn,loam,1.373535085,0.092356487,18.24,307.42,315.45,4.047951104,0.404226907,307.16,317.23,8.03,10.07,0.110294867,0.407628676,6.046867726,22.34806339,0.787044114
LC18,Corn,loam,1.045232548,0.055890779,14.84,309.36,315.09,4.148901469,0.389037924,305.84,313.73,5.73,7.89,0.059891825,0.327348326,4.035837264,22.05851253,0.845336738
LC19,Corn,loam,1.542115858,0.098051905,20.66,308.06,316.19,4.269282381,0.406252396,309.09,320.81,8.13,11.72,0.125374019,0.500359895,6.068442365,24.21877517,0.799636848
LC4,Hay,silt loam,1.967190838,0.132751214,14.45,307.04,311.32,4.712839601,0.434047184,306.48,315.51,4.28,9.03,0.084195768,0.425569416,5.826696738,29.45117066,0.834834213
