Field_Code,Type,soil_texture_class,perC_P,perN_P,soilMass,panMass_P,fracPanMass_P,perC_M,perN_M,panMass_M,fracPanMass_M,gP,gM,gCarbonP,gCarbonM,mgCpergSoilP,mgCpergSoilM,propM
RM11,Veg,loam,2.757606434,0.179902316,13,308.76,314.22,4.053409706,0.434991893,305.97,314.05,5.46,8.08,0.150565311,0.327515504,11.58194702,25.19350033,0.685063055
RM2,Veg,silty clay loam,1.251082371,0.083331118,19.76,310.64,318.89,3.448067503,0.405207597,310.87,322.07,8.25,11.2,0.103214296,0.38618356,5.223395527,19.54370245,0.789099412
RM3,Veg,loam,2.963741973,0.292869834,12.76,307.94,310.45,2.841188882,0.394132266,305.97,316.51,2.51,10.54,0.074389924,0.299461308,5.829931311,23.46875456,0.801017311
RM4,Veg,sandy loam,0.64,0.04,26.01,307.81,327.01,3.06,0.31,308.87,313.04,19.2,4.17,0.12288,0.127602,4.724336794,4.905882353,0.509425827
RM5,Veg,sandy loam,0.563049772,0.038167616,22.47,309.52,327.05,3.773151237,0.347429008,308.32,313.32,17.53,5,0.098702625,0.188657562,4.392640188,8.39597516,0.656519485
RM6,Veg,silty clay,5.373834483,0.345898894,17.16,310,311.89,2.035151465,0.226983122,306.13,320.6,1.89,14.47,0.101565472,0.294486417,5.918733784,17.16121311,0.743555139
RM7,Veg,sandy loam,0.940015885,0.054512535,20.96,309.44,324.46,2.820963805,0.244196267,306.61,312.84,15.02,6.23,0.141190386,0.175746045,6.736182535,8.384830394,0.554515126
RM8,Veg,loamy sand,0.504590501,0.025327316,19.63,310.72,327.32,3.011470756,0.240713537,309.39,312.73,16.6,3.34,0.083762023,0.100583123,4.267041425,5.123949223,10.53943531
RM9,Veg,silt loam,1.4460303,0.071900922,20.41,307.93,314.14,1.468681126,0.147173213,310.75,325.06,6.21,14.31,0.089798482,0.210168269,4.399729624,10.29731843,0.700638549
V101,Corn,loam,0.971058531,0.071316988,27.35,306.47,317.45,1.529761165,0.158150569,310.79,326.42,10.98,15.63,0.106622227,0.23910167,3.898436077,8.742291411,0.691597174
V102,Corn,loam,0.886349504,0.059212053,26.43,310.48,323.48,1.201991096,0.136073541,309.24,322.93,13,13.69,0.115225436,0.164552581,4.359645687,6.225977338,0.588154077
V103,Corn,loam,0.958734911,0.074536521,30.55,310.82,324.4,0.93679791,0.111679801,308.56,325.36,13.58,16.8,0.130196201,0.157382049,4.261741437,5.151621895,0.547266871
V104,Corn,loam,1.44758466,0.094573245,22.97,307.5,316.78,2.61464166,0.278134338,309.54,323.19,9.28,13.65,0.134335856,0.356898587,5.848317651,15.53759628,0.726534126
V105,Corn,loam,1.046365032,0.072904424,30.56,307.87,319.97,2.359966264,0.269457953,311.02,328.95,12.1,17.93,0.126610169,0.423141951,4.143002908,13.84626803,0.769695897
V201,Corn,loam,0.80763832,0.060036868,28.1,306.54,320.44,1.989908771,0.233685083,308.52,322.45,13.9,13.93,0.112261726,0.277194292,3.995079234,9.864565544,0.711747357
V202,Corn,loam,0.727878425,0.056057758,20.53,308.52,316.67,1.58471134,0.180622638,307.17,319.29,8.15,12.12,0.059322092,0.192067014,2.889531984,9.355431778,0.764022823
V203,Corn,loam,0.832600937,0.064032253,27.45,308.88,321.12,1.194399361,0.131441585,309.45,323.98,12.24,14.53,0.101910355,0.173546227,3.712581227,6.322266927,0.63003115
