Field_Code,Type,OM30,BD30,MTC_ha30,CO2e_ha30,DateSampled,DateReceived,Tillage_1to4,Crop2Ago,CropLastYr,CropThisYr,soil_texture_class,soil_texture_sand,soil_texture_silt,soil_texture_clay,water_capacity,water_capacity_rating,pred_water_capacity,pred_water_capacity_rating,surface_hardness,surface_hardness_rating,subsurface_hardness,subsurface_hardness_rating,aggregate_stability,aggregate_stability_rating,organic_matter,organic_matter_rating,soc,total_c,total_n,ace_soil_protein_index,ace_soil_protein_index_rating,pred_soil_protein,pred_soil_protein_rating,respiration,respiration_rating,active_carbon,active_carbon_rating,ph,ph_rating,p,p_rating,k,k_rating,mg,fe,mn,zn,minor_elements_rating,overall score,Mod. Morgan Al. ppm,Mod. Morgan Ca. ppm,Mod. Morgan Cu. ppm,Mod. Morgan S. ppm,Mod. Morgan B. ppm,CN_ratio
RM10,Veg,5.38,NA,NA,NA,6/2/2021,6/17/2021,3,MIX,MIX,MIX,loam,49.46878,35.04342,15.48779,,,0.219646,82.05956,NA,NA,NA,NA,48.15668,82.97427,4.12,89.3332,,2.598,0.231,,,9.412388,81.12581,0.462483,32.33365,661.8176,80.91286,6.6,100,17.9,100,317.8,100,127.1,4.1,5.2,0.9,100,84.87393,18.92,1742.1,0.09,35.19,0.23,11.24675325
RM9,Veg,3.83,NA,NA,NA,6/2/2021,6/17/2021,3,MIX,MIX,MIX,silt loam,24.88914,61.42698,13.68388,,,0.250371,91.77855,NA,NA,NA,NA,29.58129,46.85891,2.45,27.0563,,1.548,0.141,,,4.827178,30.6107,0.292244,15.24804,437.0997,36.69276,6.58,100,2.7,77.6,92,100,61,2.2,2.6,0.4,100,62.58453,23.65,943.8,0.07,8.96,0.13,10.9787234
AW2,Pasture,5.4,0.978845932,79.28652049,290.7172418,5/20/2021,5/26/2021,1,GRE,GRE,GRE,loam,50.80255,32.14039,17.05706,,,0.240269,89.15682,NA,NA,NA,NA,73.73928,99.12114,6.59,100,,4.903,0.271,,,16.67163,99.8973,0.993062,90.49372,720.5037,91.18952,5.57,14.79065,3.6,100,122.7,100,70.4,61.6,2.2,0.5,56,84.06491,9.74,2635.9,0,3.08,0.21,18.09225092
AW3,Pasture,5.47,1.087975709,89.26840692,327.3174921,5/20/2021,5/26/2021,1,GRE,GRE,GRE,loam,47.88354,35.06548,17.05098,,,0.239881,89.04522,NA,NA,NA,NA,82.01124,99.77012,6.62,99.99712,,4.264,0.366,,,12.93676,97.44437,1.730766,99.99181,731.295,89.43947,5.53,10.98601,11.7,100,176.5,100,66.5,55.3,9.4,3.1,56,84.26741,3.09,2950.5,0,3.69,0.4,11.65027322
WR5,Hay,3.51,1.286172759,67.71699576,248.2956511,5/13/2021,6/15/2021,1,PIE,PIE,PIE,loam,46.59179,41.79451,11.6137,,,0.227324,84.98426,NA,NA,NA,NA,71.21862,98.72706,4.04,87.60685,,2.74,0.241,,,9.440652,81.3564,0.909361,84.87775,632.8217,76.36075,6.74,100,2.1,60.8,67.5,92.8735,130.5,3.8,7.2,0.2,56,82.35866,38.89,1617.1,0.08,6.2,0.3,11.36929461
WR6,Pasture,3.32,1.273955217,63.44296981,232.6242226,5/13/2021,6/15/2021,1,PIE,PIE,PIE,loam,50.41714,35.57573,14.00714,,,0.228431,85.37791,NA,NA,NA,NA,76.46285,99.42268,4.01,99.4006,,2.875,0.243,,,10.87955,83.99265,1.051227,93.37211,580.2667,74.25844,6.11,92.05959,3.3,94.4,48.3,73.32406,83.2,9.5,7.7,0.7,100,89.5608,97.21,607,0.17,8.52,0.08,11.83127572
DC22,Hay,5.28,1.298159732,102.8142508,376.9855862,5/25/2021,6/1/2021,,NA,NA,GRE,silty clay,12.79253,40.60884,46.59863,,,0.23609,87.91244,NA,NA,NA,NA,34.89991,49.78985,4.54,72.57469,,2.453,0.221,,,7.611578,71.58395,0.641235,55.46618,648.5738,64.35146,6.59,100,2.7,77.6,150.1,100,682.8,4.2,6.8,0.8,100,77.92786,25.66,2703.4,0.28,8.98,0.25,11.09954751
DC23,Corn,5.81,1.275073278,111.1226362,407.449666,5/24/2021,6/1/2021,,NA,COS,COS,silty clay loam,13.90074,49.58179,36.51747,,,0.259529,93.71427,NA,NA,NA,NA,50.96883,79.96761,6.45,99.67578,,3.796,0.33,,,11.94198,97.79949,1.343471,99.33984,940.6139,96.62304,7.08,100,6.2,100,331.6,100,846.1,1.9,6.1,1.1,100,96.712,12.53,3350.8,0.33,11.56,0.41,11.5030303
DC24,Hay,6.29,NA,NA,NA,5/24/2021,6/1/2021,,NA,NA,GRE,silty clay loam,10.22307,51.86158,37.91535,,,0.253578,92.50177,NA,NA,NA,NA,57.06785,87.72738,6.04,98.82947,,3.603,0.321,,,10.34112,93.06131,1.024273,92.13547,863.5726,92.54705,6.33,100,1.5,43.9993,160.6,100,849.5,3.7,6.4,0.8,100,90.08017,27.08,2803.8,0.32,5.53,0.16,11.22429907
DC25,Hay,6.34,NA,NA,NA,6/17/2021,6/23/2021,,NA,NA,GRE,silty clay,10.3559,42.42083,47.22327,,,0.254616,92.72535,NA,NA,NA,NA,59.30886,89.96242,6.23,99.33898,,3.694,0.345,,,10.52553,93.84443,1.16472,97.01092,888.3477,94.14121,6.62,100,3,86,345.5,100,616.9,2.4,2.8,1.3,100,95.30233,13.14,2726.3,0.21,5.71,0.39,10.70724638
DC26,Hay,5.81,1.241108392,108.1625964,396.5961867,5/25/2021,6/1/2021,,NA,NA,GRE,clay,12.14302,34.71563,53.14134,,,0.242334,89.73635,NA,NA,NA,NA,46.04734,71.95277,5.28,92.25191,,2.83,0.262,,,8.492345,80.62377,1.073926,94.29183,752.4899,81.25815,7.23,100,12.9,100,380.5,100,659.3,4.3,5,0.7,100,91.01148,11.62,3873,0.17,6.7,0.88,10.80152672
DC38,Corn,5.98,1.092738646,98.01865655,359.4017407,5/14/2021,5/25/2021,3,NA,NA,COS,clay,12.49089,36.58574,50.92337,,,0.237901,88.46336,NA,NA,NA,NA,36.42091,52.9807,4.42,67.96308,,2.748,0.238,,,7.822428,73.91767,0.743378,68.36489,646.7626,64.01325,7.48,92.71024,4.4,100,297.1,100,690.3,3.2,13.3,0.7,100,80.84132,15.43,6721.6,0.15,8.05,0.46,11.54621849
DC39,Hay,5.64,1.317106337,111.4271961,408.5663857,5/25/2021,6/1/2021,,NA,NA,GRE,clay,10.69417,38.24651,51.05932,,,0.245457,90.56981,NA,NA,NA,NA,38.28694,56.8673,5.14,89.73627,,2.901,0.279,,,8.527166,80.94094,0.776007,72.12943,790.1147,85.8941,6.97,100,9.8,100,249.6,100,536,1.4,4.1,1.1,100,87.61379,12.29,4031.3,0.2,6.7,0.54,10.39784946
DC40,Corn,5.48,1.134983,93.2956026,342.0838762,5/14/2021,5/25/2021,1,NA,NA,COS,clay,9.303294,38.62728,52.06943,,,0.270078,95.48207,NA,NA,NA,NA,44.25876,68.69782,5.15,89.93361,,3.018,0.292,,,8.793117,83.25703,0.686632,61.36221,729.4965,78.00856,6.4,100,2.5,72,181.5,100,1030.8,3.9,6.4,0.9,100,84.87413,18.51,2411.6,0.11,62.95,0.28,10.33561644
DA3,Corn,3.26,1.354820438,66.25071942,242.9193045,4/13/2021,4/28/2021,,NA,NA,COS,silty clay,6.680325043,43.57056444,49.74911051,,,0.254985806,92.80361902,NA,NA,NA,NA,33.44291031,46.73424063,3.86,43.819168,,2.251,0.237,,,3.920145927,25.46425225,0.523485709,39.93431536,683.6935163,70.65960471,6.76,100,6.9,100,197.3,100,885.7,2.5,4.9,0.6,100,71.94152,8.32,2768.4,0.33,7.47,0.32,9.497890295
DA2,Corn,4.22,1.420431187,89.91329414,329.6820785,4/13/2021,4/28/2021,,NA,NA,COS,silty clay,12.64643648,44.15159402,43.20196951,,,0.242982027,89.91364734,NA,NA,NA,NA,39.96621981,60.31002568,4.24,60.51370895,,2.536,0.252,,,4.20479682,28.60138495,0.610023997,51.33275076,708.1607623,74.72317458,6.6,100,10.4,100,171.2,100,792.9,3.8,4.7,0.9,100,76.53946923,4.6,2945.6,0.19,8.46,0.37,10.06349206
DA4,Corn,4.33,1.333974492,86.64164326,317.6860253,4/13/2021,4/28/2021,,NA,NA,COS,silty clay,10.77532934,43.39058795,45.8340827,,,0.246125515,90.74157388,NA,NA,NA,NA,43.86434037,67.95870021,5.21,91.0597645,,3.365,0.32,,,6.934680897,63.4912831,0.787356554,73.38575367,933.6089581,96.35171188,6.58,100,21,100,182.6,100,832.6,6.1,3.7,1.2,100,88.29887872,5.44,3115.9,0.17,10.22,0.45,10.515625
DA1,Corn,3.8,1.402159839,79.92311082,293.0514064,4/13/2021,4/28/2021,,NA,NA,COS,silty clay,11.23446952,41.21785505,47.54767543,,,0.240011948,89.08297869,NA,NA,NA,NA,39.57648301,59.51711044,4.23,60.08529798,,2.365,0.245,,,3.768680216,23.87156852,0.688050322,61.54304108,720.3943853,76.63784233,6.59,100,12.4,100,221.5,100,848.9,7.1,6,1.1,100,77.0737839,2.71,2993.4,0.31,11.29,0.36,9.653061224
WR8,Hay,5,1.382830206,103.7122655,380.2783067,6/10/2021,6/17/2021,1,GRE,GRE,GRE,loam,50.0622,32.27695,17.66085,,,0.229708,85.82382,NA,NA,NA,NA,90.53414,99.95293,4.94,99.98811,,3.749,0.276,,,10.47297,88.56918,1.16472,97.01092,774.1765,94.74786,6.72,100,4.5,100,28.7,37.17154,133.8,8.3,4.3,1,100,90.32644,47.26,1865.8,0.13,6.11,0.13,13.58333333
WR7,Hay,4.26,1.224541426,78.24819712,286.9100561,6/10/2021,6/17/2021,1,GRE,GRE,GRE,loam,46.44626,32.74681,20.80693,,,0.233474,87.0841,NA,NA,NA,NA,88.68458,99.9324,4.48,94.99578,,3.265,0.262,,,10.15912,86.62467,0.902268,84.31672,605.6381,71.60058,5.47,6.68072,4.8,100,32.4,44.74808,25.2,15.2,10.1,0.9,56,73.1983,145.96,606.4,0.13,6.15,0.09,12.46183206
RM11,Veg,6.24,NA,NA,NA,6/2/2021,6/17/2021,3,MIX,MIX,MIX,loam,33.39683,44.89772,21.70545,,,0.236205,87.94774,NA,NA,NA,NA,74.23168,99.18418,5.36,99.56321,,3.269,0.316,,,9.950698,85.21424,0.852615,80.012,808.6091,95.23577,6.2,96.54818,34.4,23.32,191.5,100,195.8,5.7,10.7,3.8,100,86.70253,20.32,1535.7,0.26,12.19,0.28,10.34493671
RM4,Veg,2.52,1.43831,54.368118,199.349766,4/27/2021,5/13/2021,3,MIX,MIX,MIX,sandy loam,69.29816,18.5517,12.15014,,,0.162775,68.01838,NA,NA,NA,NA,33.71137,55.98668,2.9,86.97055,,2.223,0.194,,,7.252883,48.3236,0.544766,42.69618,617.151,79.83537,7.04,100,16.1,100,197.3,100,110.7,1.6,5.4,0.6,100,78.18308,9.64,1356.9,0.08,8.36,0.27,11.45876289
RM5,Veg,2.79,1.345028,56.2894218,206.3945466,4/27/2021,5/13/2021,3,MIX,MIX,MIX,sandy loam,76.34985,15.01018,8.639974,,,0.159371,66.26048,NA,NA,NA,NA,36.00382,60.949,2.98,88.97124,,2.703,0.221,,,8.261968,59.72659,0.580232,47.37315,671.6308,86.61024,7.23,100,49.1,100,260.4,100,130.7,2.8,1.9,1.1,100,80.98907,12.28,1566.7,0.12,6.5,0.37,12.23076923
RM1,Veg,4.85,1.198501194,87.19096186,319.7001935,3/31/2021,4/14/2021,4,MIX,MIX,MIX,loam,47.71241,38.43097,13.85662,,,0.239225,88.8548,NA,NA,NA,NA,59.5067,94.33696,4.34,93.17417,,3.145,0.261,,,10.25797,87.26022,0.668189,58.99036,739.5942,90.23578,6.57,100,3.1,88.8,118.9,100,137.4,6.7,5.5,1.1,100,90.16523,71.63,1234.3,0,11.64,0.09,12.04980843
NW12C,Corn,4.38,NA,NA,NA,4/26/2021,5/13/2021,,NA,NA,COS,silt loam,6.625967,70.82423,22.5498,,,0.306979,98.81269,NA,NA,NA,NA,30.08904,47.98186,4.93,98.40014,,3.074,0.291,,,8.110794,68.72674,0.818567,76.68636,829.6222,96.26043,6.48,100,7.7,100,123.1,100,244.7,1.7,6.2,0.5,100,88.68682,14.33,2273.1,0.14,10.5,0.23,10.56357388
